itemCode,dscription,codeBars,mnfctrCode,salesItem,purchItem,returnItem,classCode,uom1,uom2,uom3,length,length1,width,width1,height,height1,weight1,weight2,lstSalDate,lstPurDate,regDate,locked,objType,auditDate,auditUser,backupSts,uom4,isFocus,isTM,isNPL,longdesc,forCod
PW01001,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW01002,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW01003,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW02001,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW02002,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW02003,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW03001,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW03002,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW03003,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW04001,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW04002,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW04003,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW04004,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW04005,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW04006,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW04007,PROBABY,,0,N,N,Y,2,1,8,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,800,,N,N, ,N
PW04008,PROBABY,,0,N,N,Y,2,1,4,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,400,,N,N, ,N
PW04009,PROBABY,,0,N,N,Y,2,1,12,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1200,,N,N, ,N
PW05001,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW05002,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW05003,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW05004,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW05005,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW05006,PROBABY,,0,N,N,Y,2,1,24,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,2400,,N,N, ,N
PW05007,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW05008,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW05009,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW05010,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
PW05011,PROBABY,,0,N,N,Y,2,1,42,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,4200,,N,N, ,N
PW05012,PROBABY,,0,N,N,Y,2,1,16,1,0,0,0,0,0,0,0,0,11/14/2023,11/14/2023,11/14/2023,N,2023,11/14/23 0:00,admin,Y,1600,,N,N, ,N
